Started At,Duration,Preset,Activity
04/12/2022 21:54:15,0:18:42,,PracticeType.Meditation
04/12/2022 18:52:02,0:30:4,,PracticeType.Meditation
04/10/2022 18:37:36,0:18:16,,PracticeType.Meditation
04/10/2022 00:11:23,0:30:15,,PracticeType.Meditation
04/09/2022 14:54:48,0:18:12,,PracticeType.Meditation
04/09/2022 00:15:14,0:23:40,,PracticeType.Meditation
04/08/2022 23:52:04,0:21:41,,PracticeType.Meditation
04/08/2022 00:34:29,0:9:52,,PracticeType.Meditation
04/08/2022 00:30:01,0:3:23,,PracticeType.Meditation
04/08/2022 00:25:19,0:3:49,,PracticeType.Meditation
04/06/2022 23:42:59,0:30:15,,PracticeType.Meditation
04/04/2022 00:03:09,0:30:15,,PracticeType.Meditation
04/03/2022 00:13:16,0:37:38,,PracticeType.Meditation
04/01/2022 23:54:42,0:30:15,,PracticeType.Meditation
03/31/2022 23:37:19,0:20:0,,PracticeType.Meditation
03/30/2022 23:49:06,0:30:15,,PracticeType.Meditation
09/19/2021 00:59:30,0:27:29,,PracticeType.Meditation
09/19/2021 00:41:14,0:17:51,,PracticeType.Meditation
01/03/2021 02:05:47,0:25:14,,PracticeType.Meditation
01/02/2021 23:12:20,0:12:48,,PracticeType.Meditation
01/02/2021 23:04:07,0:5:44,,PracticeType.Meditation
01/01/2021 01:36:16,0:2:14,,PracticeType.Meditation
01/01/2021 01:21:20,0:11:37,,PracticeType.Meditation
01/01/2021 01:07:06,0:12:30,,PracticeType.Meditation
01/01/2021 00:57:13,0:7:40,,PracticeType.Meditation
12/30/2020 03:33:02,0:24:12,,PracticeType.Meditation
12/26/2020 19:14:25,0:5:49,,PracticeType.Meditation
12/23/2020 03:50:36,87:21:41,,PracticeType.Meditation
12/17/2020 04:22:19,0:11:55,,PracticeType.Meditation
12/17/2020 04:02:58,0:17:51,,PracticeType.Meditation
12/17/2020 03:34:55,0:27:30,,PracticeType.Meditation
01/10/2020 17:38:13,0:4:59,,PracticeType.Meditation
01/03/2020 02:09:20,0:17:42,,PracticeType.Meditation
01/03/2020 02:08:38,0:0:9,,PracticeType.Meditation
12/31/2019 01:07:13,0:20:31,,PracticeType.Meditation
12/31/2019 01:06:10,0:0:41,,PracticeType.Meditation
12/30/2019 00:20:50,0:7:40,,PracticeType.Meditation
12/23/2019 17:34:53,0:7:47,,PracticeType.Meditation
12/23/2019 02:59:56,0:27:30,,PracticeType.Meditation
12/22/2019 23:59:24,0:27:30,,PracticeType.Meditation
12/12/2019 01:50:12,0:5:24,,PracticeType.Meditation
12/12/2019 01:44:49,0:4:4,,PracticeType.Meditation
12/07/2019 01:57:23,0:0:20,,PracticeType.Meditation
11/04/2019 00:24:15,0:15:3,,PracticeType.Meditation
11/03/2019 04:21:30,0:14:48,,PracticeType.Meditation
11/03/2019 02:32:34,0:14:48,,PracticeType.Meditation
10/11/2019 02:14:32,0:16:12,,PracticeType.Meditation
